agi_code,link,other_name,description
AT5G51820,https://www.arabidopsis.org//locus?key=133480,Other Names: ARABIDOPSIS THALIANA PHOSPHOGLUCOMUTASE;ATPGMP;PGM;PGM1;PHOSPHOGLUCOMUTASE;STARCH-FREE 1;STF1,Encodes a plastid isoform of the enzyme phosphoglucomutase involved in controlling photosynthetic carbon flow. Effective petiole movement against the direction of the gravity requires functional  PGM activity that is required for full development of amyloplasts.
AT1G10760,https://www.arabidopsis.org//locus?key=28649,Other Names: GWD;GWD1;SEX1;SOP;SOP1;STARCH EXCESS 1,"Encodes an α-glucan, water dikinase required for starch degradation. Involved  in cold-induced freezing tolerance. Mutations that eliminate the GWD protein or affect the dikinase domain of the enzyme dramatically reduce both the amount of phosphate in the amylopectin and the rate of starch degradation. Mature leaves of these mutants accumulate amounts of starch up to seven times greater than those in wild-type leaves. NMR analysis of the mutants, suggests that the gene is specifically involved in the phosphorylation of the glucosyl residues of starch at the C6 position."
AT1G54490,https://www.arabidopsis.org//locus?key=28672,Other Names: ACC INSENSITIVE 1;AIN1;ATXRN4;EIN5;ETHYLENE INSENSITIVE 5;EXORIBONUCLEASE 4;XRN4,Involved in the ethylene response. XRN4 does not appear to regulate ethylene signaling via an RNA-INDUCED SILENCING COMPLEX-based RNA silencing mechanism but acts by independent means. Endogenous suppressor of posttranscriptional gene silencing. The mRNA is cell-to-cell mobile.
AT3G54720,https://www.arabidopsis.org//locus?key=40499,Other Names: ALTERED MERISTEM PROGRAM 1;AMP1;ATAMP1;CONSTITUTIVE MORPHOGENESIS 2;COP2;HAUPTLING;HPT;MFO1;Multifolia;PRIMORDIA TIMING;PT,"Encodes glutamate carboxypeptidase, integral membrane protein that is associated with endoplasmic reticulum where it co-localizes with AGO1. Various alleles show-increased cotyledon number and rate of leaf initiation, show transformation of leaves to cotyledons, altered flowering time and photomorphogenesis and an increased level of cytokinin biosynthesis. Involved in ethylene enhanced hypocotyl elongation in the light. Strong genetic interaction between TGH and AMP1 and amp1 and zpr3/zpr4. amp1 phenotype is suppressed by mutations in REV/PHB/PHV. Functions in translational repression of miRNA targets but is not involved in miRNA biogenesis.Expression of HD-ZIP III genes is increased in amp1 mutants."
AT1G66340,https://www.arabidopsis.org//locus?key=137243,Other Names: AtETR1;EIN1;ETHYLENE INSENSITIVE 1;ETHYLENE RESPONSE;ETHYLENE RESPONSE 1;ETR;ETR1;RDO3;REDUCED DORMANCY 3,"Similar to prokaryote sensory transduction proteins. Contains a histidine kinase and a response regulator domain. Homodimer. Membrane component. Binds ethylene. Mutations affect ethylene binding and metabolism of other plant hormones such as auxin, cytokinins, ABA and gibberellic acid. Ethylene receptor. Has histidine kinase activity. Is regulated by RTE1. Mutations in ETR1 block ethylene stimulation of flavonol synthesis."
AT5G28640,https://www.arabidopsis.org//locus?key=131219,Other Names: AN3;ANGUSTIFOLIA 3;ARABIDOPSIS GRF1-INTERACTING FACTOR 1;ATGIF1;GIF;GIF1;GRF1-INTERACTING FACTOR;GRF1-INTERACTING FACTOR 1,"Encodes a protein with similarity to mammalian transcriptional coactivator that is involved in cell proliferation during leaf and flower development. Loss of function mutations have narrow, pointed leaves and narrow floral organs. AN3 interacts with members of the growth regulating factor (GRF) family of transcription factors.Identified as a subunit shared by BRM- and SYD-associated SWI/SNF complexes (PMID:36471048)."
AT4G27060,https://www.arabidopsis.org//locus?key=129670,Other Names: CN;CONVOLUTA;SPIRAL 2;SPR2;TOR1;TORTIFOLIA 1,"Encodes a novel, plant-specific microtubule-associated protein that regulates the orientation of cortical microtubules and the direction of organ growth.  The protein plays a role in control of microtubule dependent anisotropic cell elongation. spr2 mutant rosette leaves, cauline leaves, roots, petioles and petals curl in an anticlockwise direction."
AT1G65470,https://www.arabidopsis.org//locus?key=30544,Other Names: FAS1;FASCIATA 1;FUGU 2;FUGU2;NFB2;NUCLEOSOME/CHROMATIN ASSEMBLY FACTOR GROUP B,"Chromatin Assembly Factor-1 (CAF-1) p150 subunit. Mutants have reduced heterochromatin content.  In Arabidopsis, the three CAF-1 subunits are encoded by FAS1, FAS2 and, most likely, MSI1, respectively.  Mutations in FAS1 or FAS2 lead to increased frequency of homologous recombination and T-DNA integration in Arabidopsis."
AT5G64630,https://www.arabidopsis.org//locus?key=134746,Other Names: FAS2;FASCIATA 2;MUB3.9;NFB01;NFB1,"Chromatin Assembly Factor-1 (CAF-1) p60 subunit. Involved in organization of the shoot and root apical meristems.  In Arabidopsis, the three CAF-1 subunits are encoded by FAS1, FAS2 and, most likely, MSI1, respectively.  Mutations in FAS1 or FAS2 lead to increased frequency of homologous recombination and T-DNA integration in Arabidopsis."
AT5G57090,https://www.arabidopsis.org//locus?key=134857,Other Names: AGR;AGR1;AGRAVITROPIC ROOT;AGRAVITROPIC ROOT 1;ARABIDOPSIS THALIANA PIN-FORMED 2;ATPIN2;EIR1;ETHYLENE INSENSITIVE ROOT 1;MM31;PIN-FORMED 2;PIN2;WAV6;WAVY ROOTS 6,"Encodes an auxin efflux carrier that is similar to bacterial membrane transporters. Root-specific role in the transport of auxin. Acts downstream of CTR1 and ethylene biosynthesis, in the same pathway as EIN2 and AUX1, and independent from EIN3 and EIN5/AIN1 pathway. In the root, the protein localizes apically in epidermal and lateral root cap cells and predominantly basally in cortical cells. Functions may be regulated by phosphorylation status. EIR1 expression is induced by brassinolide treatment in the brassinosteroid-insensitive br1 mutant. Gravistimulation results in asymmetric PIN2 distribution, with more protein degraded at the upper side of the gravistimulated root. Membrane sterol composition is essential for the acquisition of  PIN2 polarity. Its expression is downregulated at hypoxic conditions. RAP2.12 overexpression inhibits this downregulation."
